zip_code,city,state,territory_id
01730,BEDFORD,MA,ID101B06
01731,"HANSCOM AFB",MA,ID101B06
01740,BOLTON,MA,ID101B06
01741,CARLISLE,MA,ID101B06
01742,CONCORD,MA,ID101B06
01745,FAYVILLE,MA,ID101B06
01746,HOLLISTON,MA,ID101B06
01747,HOPEDALE,MA,ID101B06
01748,HOPKINTON,MA,ID101B06
01749,HUDSON,MA,ID101B06
01752,MARLBOROUGH,MA,ID101B06
01754,MAYNARD,MA,ID101B06
01756,MENDON,MA,ID101B06
01757,MILFORD,MA,ID101B06
01760,NATICK,MA,ID101B06
01765,NATICK,MA,ID101B06
01770,SHERBORN,MA,ID101B06
01772,SOUTHBOROUGH,MA,ID101B06
01773,LINCOLN,MA,ID101B06
01775,STOW,MA,ID101B06
01776,SUDBURY,MA,ID101B06
01778,WAYLAND,MA,ID101B06
01784,WOODVILLE,MA,ID101B06
01801,WOBURN,MA,ID101B03
01803,BURLINGTON,MA,ID101B03
01805,BURLINGTON,MA,ID101B03
01806,WOBURN,MA,ID101B03
01807,WOBURN,MA,ID101B03
01808,WOBURN,MA,ID101B03
01810,ANDOVER,MA,ID101B03
01812,ANDOVER,MA,ID101B03
01813,WOBURN,MA,ID101B03
01815,WOBURN,MA,ID101B03
01821,BILLERICA,MA,ID101B03
01822,BILLERICA,MA,ID101B03
01824,CHELMSFORD,MA,ID101B06
01826,DRACUT,MA,ID101B03
01827,DUNSTABLE,MA,ID101B06
01830,HAVERHILL,MA,ID101B03
01831,HAVERHILL,MA,ID101B03
01832,HAVERHILL,MA,ID101B03
01833,GEORGETOWN,MA,ID101B03
01834,GROVELAND,MA,ID101B03
01835,HAVERHILL,MA,ID101B03
01840,LAWRENCE,MA,ID101B03
01841,LAWRENCE,MA,ID101B03
01842,LAWRENCE,MA,ID101B03
01843,LAWRENCE,MA,ID101B03
01844,METHUEN,MA,ID101B03
01845,"NORTH ANDOVER",MA,ID101B03
01850,LOWELL,MA,ID101B03
01851,LOWELL,MA,ID101B03
01852,LOWELL,MA,ID101B03
01853,LOWELL,MA,ID101B03
01854,LOWELL,MA,ID101B03
01860,MERRIMAC,MA,ID101B03
01862,"NORTH BILLERICA",MA,ID101B06
01863,"NORTH CHELMSFORD",MA,ID101B06
01864,"NORTH READING",MA,ID101B03
01865,"NUTTING LAKE",MA,ID101B03
01866,PINEHURST,MA,ID101B03
01867,READING,MA,ID101B03
01870,TEWKSBURY,MA,ID101B03
01876,TEWKSBURY,MA,ID101B03
01879,TYNGSBORO,MA,ID101B06
01880,WAKEFIELD,MA,ID101B03
01885,"WEST BOXFORD",MA,ID101B03
01886,WESTFORD,MA,ID101B06
01887,WILMINGTON,MA,ID101B03
01888,WOBURN,MA,ID101B03
01889,"NORTH READING",MA,ID101B03
01890,WINCHESTER,MA,ID101B03
01897,WINCHESTER,MA,ID101B03
01899,ANDOVER,MA,ID101B03
01900,LYNN,MA,ID101B03
01901,LYNN,MA,ID101B03
01902,LYNN,MA,ID101B03
01903,LYNN,MA,ID101B03
01904,LYNN,MA,ID101B03
01905,LYNN,MA,ID101B03
01906,SAUGUS,MA,ID101B03
01907,SWAMPSCOTT,MA,ID101B03
01908,NAHANT,MA,ID101B03
01910,LYNN,MA,ID101B03
01913,AMESBURY,MA,ID101B03
01915,BEVERLY,MA,ID101B03
01921,BOXFORD,MA,ID101B03
01922,BYFIELD,MA,ID101B03
01923,DANVERS,MA,ID101B03
01929,ESSEX,MA,ID101B03
01930,GLOUCESTER,MA,ID101B03
01931,GLOUCESTER,MA,ID101B03
01936,HAMILTON,MA,ID101B03
01937,HATHORNE,MA,ID101B03
01938,IPSWICH,MA,ID101B03
01940,LYNNFIELD,MA,ID101B03
01944,MANCHESTER,MA,ID101B03
01945,MARBLEHEAD,MA,ID101B03
01949,MIDDLETON,MA,ID101B03
01950,NEWBURYPORT,MA,ID101B03
01951,NEWBURY,MA,ID101B03
01952,SALISBURY,MA,ID101B03
01960,PEABODY,MA,ID101B03
01961,PEABODY,MA,ID101B03
01965,"PRIDES CROSSING",MA,ID101B03
01966,ROCKPORT,MA,ID101B03
01969,ROWLEY,MA,ID101B03
01970,SALEM,MA,ID101B03
01971,SALEM,MA,ID101B03
01982,"SOUTH HAMILTON",MA,ID101B03
01983,TOPSFIELD,MA,ID101B03
01984,WENHAM,MA,ID101B03
01985,"WEST NEWBURY",MA,ID101B03
02013,ACCORD,MA,ID101B05
02018,ACCORD,MA,ID101B05
02019,BELLINGHAM,MA,ID101B06
02020,"BRANT ROCK",MA,ID101B05
02021,CANTON,MA,ID101B06
02023,"BRANT ROCK",MA,ID101B05
02025,COHASSET,MA,ID101B05
02026,DEDHAM,MA,ID101B06
02027,DEDHAM,MA,ID101B06
02030,DOVER,MA,ID101B06
02031,MANSFIELD,MA,ID101B05
02032,"EAST WALPOLE",MA,ID101B06
02033,DOVER,MA,ID101B06
02035,FOXBORO,MA,ID101B06
02038,FRANKLIN,MA,ID101B06
02040,GREENBUSH,MA,ID101B05
02041,"GREEN HARBOR",MA,ID101B05
02043,HINGHAM,MA,ID101B05
02044,HINGHAM,MA,ID101B05
02045,HULL,MA,ID101B05
02047,HUMAROCK,MA,ID101B05
02048,MANSFIELD,MA,ID101B05
02050,MARSHFIELD,MA,ID101B05
02051,"MARSHFIELD HILLS",MA,ID101B05
02052,MEDFIELD,MA,ID101B06
02053,MEDWAY,MA,ID101B06
02054,MILLIS,MA,ID101B06
02055,MINOT,MA,ID101B05
02056,NORFOLK,MA,ID101B06
02059,"NORTH MARSHFIELD",MA,ID101B05
02060,"NORTH SCITUATE",MA,ID101B05
02061,NORWELL,MA,ID101B05
02062,NORWOOD,MA,ID101B06
02065,"OCEAN BLUFF",MA,ID101B05
02066,SCITUATE,MA,ID101B05
02067,SHARON,MA,ID101B06
02070,SHELDONVILLE,MA,ID101B06
02071,"SOUTH WALPOLE",MA,ID101B06
02072,STOUGHTON,MA,ID101B05
02081,WALPOLE,MA,ID101B06
02085,WALPOLE,MA,ID101B06
02090,WESTWOOD,MA,ID101B06
02093,WRENTHAM,MA,ID101B06
02108,BOSTON,MA,ID101B04
02109,BOSTON,MA,ID101B04
02110,BOSTON,MA,ID101B04
02111,BOSTON,MA,ID101B04
02112,BOSTON,MA,ID101B04
02113,BOSTON,MA,ID101B04
02114,BOSTON,MA,ID101B04
02115,BOSTON,MA,ID101B04
02116,BOSTON,MA,ID101B04
02117,BOSTON,MA,ID101B04
02118,BOSTON,MA,ID101B04
02119,ROXBURY,MA,ID101B04
02120,"ROXBURY CROSSING",MA,ID101B04
